Date,Open,High,Low,Close,Volume
12/23/2022,20,20.63,19.65,20.08,"3,174,827"
12/22/2022,20.5,20.5,18.5,19.81,"5,343,087"
12/21/2022,20.4,20.9,20.18,20.56,"2,793,559"
12/20/2022,19.86,21.32,19.62,20.26,"4,478,987"
12/19/2022,20.55,20.89,19.59,19.92,"3,700,556"
12/16/2022,20.48,21.12,20.01,20.8,"9,379,717"
12/15/2022,20.74,21.44,20.24,20.58,"6,444,512"
12/14/2022,21.19,22,21.01,21.05,"4,604,808"
12/13/2022,23.55,23.7,20.83,21,"6,305,646"
12/12/2022,22.66,23.15,22.18,22.67,"3,750,805"
12/9/2022,24.59,24.59,22.59,22.63,"5,326,676"
12/8/2022,22,25,21.97,24.79,"10,252,000"
12/7/2022,23.4,23.61,21.97,22.26,"10,078,220"
12/6/2022,25.41,25.58,23.11,23.39,"7,699,321"
12/5/2022,27.31,27.48,25.44,25.56,"4,973,747"
12/2/2022,26.25,27.87,26.11,27.52,"4,577,177"
12/1/2022,26,27.5,25.18,26.6,"7,615,154"
11/30/2022,25.9,26.23,24.91,26.21,"3,731,072"
11/29/2022,25.58,26.35,25.32,25.6,"2,029,480"
11/28/2022,25.79,26.44,25.21,25.29,"2,453,744"
11/25/2022,26.5,27.05,26.14,26.17,"1,122,700"
11/23/2022,25.92,27.14,25.92,26.7,"2,737,491"
11/22/2022,25.13,26.45,24.7,26.3,"4,240,402"
11/21/2022,26.66,27.83,24.86,25.16,"4,443,252"
11/18/2022,28.16,28.7,26.83,27.6,"3,087,420"
11/17/2022,26.3,27.76,26.15,27.76,"2,477,693"
11/16/2022,26.62,27.35,26.37,27.14,"2,452,335"
11/15/2022,26.59,28.24,26.27,27.59,"5,391,975"
11/14/2022,26.3,27.38,25.61,26.05,"4,350,537"
11/11/2022,24.78,26.12,24.15,26.1,"3,986,182"
11/10/2022,24.62,25.7,23.91,24.88,"6,106,952"
11/9/2022,24.55,24.67,21.89,23.11,"8,464,777"
11/8/2022,25.33,25.85,24.11,25.14,"4,695,117"
11/7/2022,26.25,26.3,24.8,25.76,"3,303,627"
